ID     Ref      Name                       C_key   Type   RA               DEC              Vel       B_mag    V_mag    J_mag    K_mag    Teff   logg   M/H     Vmic   Simbad_Identifier                    Fe/H     Mg/H    
2351   JAC15    SMSS_J003327.36-491037.9   *       RG     0_33_27.36       -49_10_37.9      *         *        *        *        *        4630   0.8    -3.36   2.35   SMSS_J003327.36-491037.9             -3.36    -2.81   
2352   JAC15    SMSS_J004037.56-515025.2   *       RG     0_40_37.56       -51_50_25.2      *         *        *        *        *        4468   0.55   -3.83   2.45   SMSS_J004037.56-515025.2             -3.83    -3.24   
2353   JAC15    SMSS_J005953.98-594329.9   CR      HB     0_59_53.98       -59_43_29.9      *         *        *        *        *        5413   2.95   -3.94   1.4    SMSS_J005953.98-594329.9             -3.93    -3.32   
2354   JAC15    SMSS_J010332.63-534654.3   *       RG     1_3_32.63        -53_46_54.3      *         *        *        *        *        4810   1.4    -3.03   1.8    SMSS_J010332.63-534654.3             -3.03    -2.61   
2355   JAC15    SMSS_J010651.91-524410.5   *       RG     1_6_51.91        -52_44_10.5      *         *        *        *        *        4486   0.65   -3.79   2.6    SMSS_J010651.91-524410.5             -3.79    -3.23   
2356   JAC15    SMSS_J010839.58-285701.5   *       RG     1_8_39.58        -28_57_1.5       *         *        *        *        *        4855   1.55   -3.02   1.9    SMSS_J010839.58-285701.5             -3.02    -2.57   
2357   JAC15    SMSS_J012147.80-495328.2   *       RG     1_21_47.8        -49_53_28.2      *         *        *        *        *        4698   1.1    -1.59   2.4    SMSS_J012147.80-495328.2             -1.59    -1.75   
2358   JAC15    SMSS_J014624.60-352457.7   *       RG     1_46_24.6        -35_24_57.7      *         *        *        *        *        4945   1.3    -2.81   2.3    SMSS_J014624.60-352457.7             -2.81    -2.39   
2359   JAC15    SMSS_J015350.94-775525.6   *       RG     1_53_50.94       -77_55_25.6      *         *        *        *        *        4639   1.3    -2.66   2.55   SMSS_J015350.94-775525.6             -2.62    -1.76   
2360   JAC15    SMSS_J015941.53-781408.7   *       RG     1_59_41.53       -78_14_8.7       *         *        *        *        *        4810   1.55   -3.11   1.85   SMSS_J015941.53-781408.7             -3.11    -2.55   
2361   JAC15    SMSS_J020748.93-465616.4   *       RG     2_7_48.93        -46_56_16.4      *         *        *        *        *        5008   1.75   -2.71   2.05   SMSS_J020748.93-465616.4             -2.71    -2.22   
2362   JAC15    SMSS_J021323.26-495936.5   *       RG     2_13_23.26       -49_59_36.5      *         *        *        *        *        4882   1.05   -2.87   2.4    SMSS_J021323.26-495936.5             -2.87    -2.36   
2363   JAC15    SMSS_J022410.38-534659.9   *       RG     2_24_10.38       -53_46_59.9      *         *        *        *        *        4630   0.9    -3.4    2.6    SMSS_J022410.38-534659.9             -3.4     -2.82   
2364   JAC15    SMSS_J022423.27-573705.1   *       RG     2_24_23.27       -57_37_5.1       *         *        *        *        *        4846   1.6    -3.97   2.05   SMSS_J022423.27-573705.1             -3.97    -3.35   
2365   JAC15    SMSS_J022452.58-731051.8   *       RG     2_24_52.58       -73_10_51.8      *         *        *        *        *        4900   1.8    -2.55   2.15   SMSS_J022452.58-731051.8             -2.55    -1.99   
2366   JAC15    SMSS_J022545.31-774119.9   *       RG     2_25_45.31       -77_41_19.9      *         *        *        *        *        5134   2.6    -2.63   1.7    SMSS_J022545.31-774119.9             -2.63    -2.31   
2367   JAC15    SMSS_J022756.48-684256.6   *       RG     2_27_56.48       -68_42_56.6      *         *        *        *        *        5170   2.25   -2.22   2.05   SMSS_J022756.48-684256.6             -2.22    -2.13   
2368   JAC15    SMSS_J023139.43-523957.4   *       RG     2_31_39.43       -52_39_57.4      *         *        *        *        *        4882   1.55   -2.94   1.95   SMSS_J023139.43-523957.4             -2.94    -2.26   
2369   JAC15    SMSS_J023147.96-575341.7   *       RG     2_31_47.96       -57_53_41.7      *         *        *        *        *        4720   1.05   -3.42   2.2    SMSS_J023147.96-575341.7             -3.42    -3.13   
2370   JAC15    SMSS_J024643.28-352502.4   *       RG     2_46_43.28       -35_25_2.4       *         *        *        *        *        4720   1.05   -3.37   2.6    SMSS_J024643.28-352502.4             -3.37    -2.73   
2371   JAC15    SMSS_J024858.41-684306.4   *       RG     2_48_58.41       -68_43_6.4       *         *        *        *        *        4977   1.6    -3.71   1.8    SMSS_J024858.41-684306.4             -3.71    -3.14   
2372   JAC15    SMSS_J031556.09-473442.1   *       RG     3_15_56.09       -47_34_42.1      *         *        *        *        *        4999   1.9    -3.26   1.9    SMSS_J031556.09-473442.1             -3.26    -2.78   
2373   JAC15    SMSS_J032132.29-363123.6   *       RG     3_21_32.29       -36_31_23.6      *         *        *        *        *        4675   0.8    -3.4    2.5    SMSS_J032132.29-363123.6             -3.4     -2.85   
2374   JAC15    SMSS_J033005.90-681352.5   *       RG     3_30_5.9         -68_13_52.5      *         *        *        *        *        4882   1.45   -3.44   2.15   SMSS_J033005.90-681352.5             -3.44    -2.81   
2375   JAC15    SMSS_J034249.53-284216.0   *       RG     3_42_49.53       -28_42_16        *         *        *        *        *        4828   1.6    -2.33   1.95   SMSS_J034249.53-284216.0             -2.33    -2.5    
2376   JAC15    SMSS_J040148.04-743537.3   *       RG     4_1_48.04        -74_35_37.3      *         *        *        *        *        4900   1.9    -3.09   2.05   SMSS_J040148.04-743537.3             -3.09    -2.6    
2377   JAC15    SMSS_J041957.56-493818.3   *       RG     4_19_57.56       -49_38_18.3      *         *        *        *        *        4567   0.7    -2.97   2.3    SMSS_J041957.56-493818.3             -2.97    -2.57   
2378   JAC15    SMSS_J051008.62-372019.8   *       RG     5_10_8.62        -37_20_19.8      *         *        *        *        *        5170   2.4    -3.2    1.6    SMSS_J051008.62-372019.8             -3.2     -2.59   
2379   JAC15    SMSS_J055746.51-575057.4   *       RG     5_57_46.51       -57_50_57.4      *         *        *        *        *        5404   3.05   -2.5    1.45   SMSS_J055746.51-575057.4             -2.5     -2.11   
2380   JAC15    SMSS_J061725.30-600740.6   *       RG     6_17_25.3        -60_7_40.6       *         *        *        *        *        4810   1.35   -2.72   2.05   SMSS_J061725.30-600740.6             -2.72    -2.32   
2381   JAC15    SMSS_J062609.83-590503.2   *       RG     6_26_9.83        -59_5_3.2        *         *        *        *        *        4960   1.75   -2.77   1.75   SMSS_J062609.83-590503.2             -2.77    -2.53   
2382   JAC15    SMSS_J063447.15-622355.0   *       RG     6_34_47.15       -62_23_55        *         *        *        *        *        4432   0.55   -3.41   2.85   SMSS_J063447.15-622355.0             -3.41    -2.79   
2383   JAC15    SMSS_J064349.43-653038.6   *       RG     6_43_49.43       -65_30_38.6      *         *        *        *        *        4693   1.15   -2.48   1.95   SMSS_J064349.43-653038.6             -2.48    -2.17   
2384   JAC15    SMSS_J065014.40-614328.0   *       RG     6_50_14.4        -61_43_28        *         *        *        *        *        4530   0.65   -3.18   2.65   SMSS_J065014.40-614328.0             -3.18    -2.58   
2385   JAC15    SMSS_J070257.95-600422.4   *       RG     7_2_57.95        -60_4_22.4       *         *        *        *        *        4824   1.4    -2.62   1.95   SMSS_J070257.95-600422.4             -2.62    -2.17   
2386   JAC15    SMSS_J080050.54-724620.6   *       RG     8_0_50.54        -72_46_20.6      *         *        *        *        *        4801   1.2    -2.08   2.55   SMSS_J080050.54-724620.6             -2.08    -1.69   
2387   JAC15    SMSS_J085924.06-120104.9   *       RG     8_59_24.06       -12_1_4.9        *         *        *        *        *        4459   0.75   -3.63   2.85   SMSS_J085924.06-120104.9             -3.63    -3.02   
2388   JAC15    SMSS_J090247.43-122755.0   *       RG     9_2_47.43        -12_27_55        *         *        *        *        *        4945   1.7    -2.4    1.95   SMSS_J090247.43-122755.0             -2.4     -1.97   
2389   JAC15    SMSS_J091210.40-064427.9   *       RG     9_12_10.4        -6_44_27.9       *         *        *        *        *        5170   2.55   -2.64   1.55   SMSS_J091210.40-064427.9             -2.64    -2.31   
2390   JAC15    SMSS_J093209.41-003435.8   *       RG     9_32_9.41        0_34_35.8        *         *        *        *        *        5062   2.15   -3.11   1.8    SMSS_J093209.41-003435.8             -3.11    -2.6    
2391   JAC15    SMSS_J093829.27-070520.9   *       RG     9_38_29.27       -7_5_20.9        *         *        *        *        *        5440   3.15   -2.35   1.35   SMSS_J093829.27-070520.9             -2.34    -2.28   
2392   JAC15    SMSS_J094029.05-060935.0   *       RG     9_40_29.05       -6_9_35          *         *        *        *        *        4900   1.3    -3.18   2.2    SMSS_J094029.05-060935.0             -3.18    -2.73   
2393   JAC15    SMSS_J094755.04-102724.7   *       RG     9_47_55.04       -10_27_24.7      *         *        *        *        *        5097   2.2    -2.99   1.75   SMSS_J094755.04-102724.7             -2.99    -2.53   
2394   JAC15    SMSS_J095120.49-401431.3   *       RG     9_51_20.49       -40_14_31.3      *         *        *        *        *        5031   1.75   -1.48   1.95   SMSS_J095120.49-401431.3             -1.48    -1.02   
2395   JAC15    SMSS_J100251.13-000152.1   *       RG     10_2_51.13       0_1_52.1         *         *        *        *        *        5035   2.1    -2.62   1.85   SMSS_J100251.13-000152.1             -2.62    -2.3    
2396   JAC15    SMSS_J105320.99-435300.1   *       RG     10_53_20.99      -43_53_0.1       *         *        *        *        *        5022   2.05   -1.86   1.7    SMSS_J105320.99-435300.1             -1.86    -1.76   
2397   JAC15    SMSS_J105438.86-435819.9   *       RG     10_54_38.86      -43_58_19.9      *         *        *        *        *        4954   2.05   -1.98   1.75   SMSS_J105438.86-435819.9             -1.98    -1.5    
2398   JAC15    SMSS_J110850.60-080034.7   *       RG     11_8_50.6        -8_0_34.7        *         *        *        *        *        5485   3.4    -2.9    1.65   SMSS_J110850.60-080034.7             -2.9     -2.53   
2399   JAC15    SMSS_J121353.63-441911.2   *       RG     12_13_53.63      -44_19_11.2      *         *        *        *        *        4882   1.7    -2.59   1.9    SMSS_J121353.63-441911.2             -2.59    -2.13   
2400   JAC15    SMSS_J121716.48-442510.2   *       RG     12_17_16.48      -44_25_10.2      *         *        *        *        *        4792   1.4    -2.1    2.05   SMSS_J121716.48-442510.2             -2.1     -1.86   
2401   JAC15    SMSS_J122455.61-151134.0   *       RG     12_24_55.61      -15_11_34        *         *        *        *        *        5062   2.45   -2.62   1.65   SMSS_J122455.61-151134.0             -2.62    -2.18   
2402   JAC15    SMSS_J123158.00-162317.6   *       RG     12_31_58         -16_23_17.6      *         *        *        *        *        5080   2.1    -2.63   1.75   SMSS_J123158.00-162317.6             -2.63    -2.18   
2403   JAC15    SMSS_J123246.06-054559.1   *       RG     12_32_46.06      -5_45_59.1       *         *        *        *        *        4792   1.25   -3.03   2.45   SMSS_J123246.06-054559.1             -3.03    -2.47   
2404   JAC15    SMSS_J125115.37-331448.1   *       RG     12_51_15.37      -33_14_48.1      *         *        *        *        *        4828   1.6    -2.64   2.15   SMSS_J125115.37-331448.1             -2.64    -2.27   
2405   JAC15    SMSS_J125125.64-340343.4   *       RG     12_51_25.64      -34_3_43.4       *         *        *        *        *        4936   2.3    -2.52   1.65   SMSS_J125125.64-340343.4             -2.52    -2.12   
2406   JAC15    SMSS_J125451.18-334440.3   *       RG     12_54_51.18      -33_44_40.3      *         *        *        *        *        4675   1.2    -2.81   2.25   SMSS_J125451.18-334440.3             -2.81    -2.24   
2407   JAC15    SMSS_J125804.65-335045.1   *       RG     12_58_4.65       -33_50_45.1      *         *        *        *        *        5040   1.8    -3.44   2.05   SMSS_J125804.65-335045.1             -3.44    -2.9    
2408   JAC15    SMSS_J130537.01-294438.3   *       RG     13_5_37.01       -29_44_38.3      *         *        *        *        *        4702   1.1    -2.35   2.3    SMSS_J130537.01-294438.3             -2.35    -2.05   
2409   JAC15    SMSS_J133013.61-434632.4   *       RG     13_30_13.61      -43_46_32.4      *         *        *        *        *        4653   0.9    -2.54   2.9    SMSS_J133013.61-434632.4             -2.54    -2.09   
2410   JAC15    SMSS_J133532.32-210632.9   *       RG     13_35_32.32      -21_6_32.9       *         *        *        *        *        4734   1.1    -2.73   2.25   SMSS_J133532.32-210632.9             -2.73    -2.21   
2411   JAC15    SMSS_J135217.78-151405.7   *       RG     13_52_17.78      -15_14_5.7       *         *        *        *        *        5260   2.75   -2.56   1.6    SMSS_J135217.78-151405.7             -2.56    -2.14   
2412   JAC15    SMSS_J135625.09-161538.7   *       RG     13_56_25.09      -16_15_38.7      *         *        *        *        *        4765   1.5    -2.76   2      SMSS_J135625.09-161538.7             -2.76    -2.35   
2413   JAC15    SMSS_J135819.95-150937.4   *       RG     13_58_19.95      -15_9_37.4       *         *        *        *        *        5170   2.5    -2.58   1.75   SMSS_J135819.95-150937.4             -2.58    -2.24   
2414   JAC15    SMSS_J141547.72-414034.0   *       RG     14_15_47.72      -41_40_34        *         *        *        *        *        5035   1.95   -2.26   1.85   SMSS_J141547.72-414034.0             -2.26    -2.3    
2415   JAC15    SMSS_J143511.34-420326.5   *       RG     14_35_11.34      -42_3_26.5       *         *        *        *        *        4657   1      -3.15   2.45   SMSS_J143511.34-420326.5             -3.15    -2.66   
2416   JAC15    SMSS_J151101.05-182103.0   *       RG     15_11_1.05       -18_21_3         *         *        *        *        *        5125   2      -2.71   1.85   SMSS_J151101.05-182103.0             -2.71    -2.31   
2417   JAC15    SMSS_J151450.18-182946.0   *       RG     15_14_50.18      -18_29_46        *         *        *        *        *        4945   1.45   -2.73   2.3    SMSS_J151450.18-182946.0             -2.73    -2.28   
2418   JAC15    SMSS_J155430.57-263904.8   *       RG     15_54_30.57      -26_39_4.8       *         *        *        *        *        4783   1.2    -2.61   2.2    SMSS_J155430.57-263904.8             -2.61    -2.29   
2419   JAC15    SMSS_J155628.74-165533.4   *       RG     15_56_28.74      -16_55_33.4      *         *        *        *        *        4837   1.45   -2.79   2.25   SMSS_J155628.74-165533.4             -2.79    -2.27   
2420   JAC15    SMSS_J160447.75-293146.7   *       RG     16_4_47.75       -29_31_46.7      *         *        *        *        *        4675   1.05   -2.66   2.35   SMSS_J160447.75-293146.7             -2.66    -2.0    
2421   JAC15    SMSS_J164921.94-041943.9   *       RG     16_49_21.94      -4_19_43.9       *         *        *        *        *        4936   1.6    -2.24   2.35   SMSS_J164921.94-041943.9             -2.24    -1.74   
2422   JAC15    SMSS_J165023.82-252948.7   *       RG     16_50_23.82      -25_29_48.7      *         *        *        *        *        4833   1.3    -2.48   2.1    SMSS_J165023.82-252948.7             -2.48    -2.17   
2423   JAC15    SMSS_J165219.76-253133.7   *       RG     16_52_19.76      -25_31_33.7      *         *        *        *        *        4941   1.8    -2.2    1.9    SMSS_J165219.76-253133.7             -2.2     -1.87   
2424   JAC15    SMSS_J173823.36-145701.0   *       RG     17_38_23.36      -14_57_1         *         *        *        *        *        4558   0.75   -3.58   2.8    SMSS_J173823.36-145701.0             -3.58    -3.14   
2425   HOW15    J173823.38-145701.1        *       RG     17_38_23.38      -14_57_1.1       *         *        *        10.85    10.03    4599   0.99   -3.36   2.3    SMSS_J173823.38-145701.1             -3.36    -3.19   
2426   JAC15    SMSS_J174048.48-143635.6   *       RG     17_40_48.48      -14_36_35.6      *         *        *        *        *        4806   1.55   -2.5    2      SMSS_J174048.48-143635.6             -2.5     -2.27   
2427   JAC15    SMSS_J174916.38-455427.5   *       RG     17_49_16.38      -45_54_27.5      *         *        *        *        *        4801   1.15   -2.51   2.3    SMSS_J174916.38-455427.5             -2.51    -2.24   
2428   JAC15    SMSS_J174922.26-455103.8   *       RG     17_49_22.26      -45_51_3.8       *         *        *        *        *        4797   1.3    -2.77   2.1    SMSS_J174922.26-455103.8             -2.77    -2.3    
2429   HOW15    J175021.86-414627.1        *       RG     17_50_21.86      -41_46_27.1      *         *        *        11.74    11.17    5015   2.12   -2.6    1.55   SMSS_J175021.86-414627.1             -2.6     -2.3    
2430   JAC15    SMSS_J175021.86-414627.2   *       RG     17_50_21.86      -41_46_27.2      *         *        *        *        *        4968   1.7    -2.76   1.95   SMSS_J175021.86-414627.2             -2.76    -2.43   
2431   JAC15    SMSS_J175046.30-425506.9   *       RG     17_50_46.3       -42_55_6.9       *         *        *        *        *        4752   1.55   -2.17   2.05   SMSS_J175046.30-425506.9             -2.17    -1.93   
2432   HOW15    J175433.19-411048.9        *       RG     17_54_33.19      -41_10_48.9      *         *        *        11.94    11.33    4912   1.91   -3.26   1.94   SMSS_J175433.19-411048.9             -3.26    -2.86   
2433   HOW15    J175455.52-380339.3        *       RG     17_54_55.52      -38_3_39.3       *         *        *        11.98    11.26    4714   1.1    -3.36   1.8    SMSS_J175455.52-380339.3             -3.36    -3.3    
2434   HOW16    J175510.50-412812.1        *       RG     17_55_10.5       -41_28_12.1      *         *        *        *        *        5266   1.75   -2.36   2.3    SMSS_J175510.50-412812.1             -2.36    -2.33   
2435   HOW15    J175544.54-392700.9        *       RG     17_55_44.54      -39_27_0.9       *         *        *        13.71    13.09    4857   1.83   -2.65   1.6    SMSS_J175544.54-392700.9             -2.65    -2.36   
2436   HOW15    J175636.59-403545.9        *       RG     17_56_36.59      -40_35_45.9      *         *        *        12.86    12.19    4934   1.79   -3.21   1.96   SMSS_J175636.59-403545.9             -3.21    -2.91   
2437   HOW16    J175652.43-413612.8        *       RG     17_56_52.43      -41_36_12.8      *         *        *        *        *        5142   3.15   -2.39   1.1    SMSS_J175652.43-413612.8             -2.39    -2.53   
2438   HOW15    J175722.68-411731.8        *       RG     17_57_22.68      -41_17_31.8      *         *        *        13.85    13.21    4894   1.97   -2.88   2.02   SMSS_J175722.68-411731.8             -2.88    -2.67   
2439   JAC15    SMSS_J175738.37-454823.5   *       RG     17_57_38.37      -45_48_23.5      *         *        *        *        *        4617   1.2    -2.46   2.3    SMSS_J175738.37-454823.5             -2.46    -2.08   
2440   HOW15    J175746.58-384750.0        *       RG     17_57_46.58      -38_47_50        *         *        *        13.09    12.51    5064   1.96   -2.81   2.36   SMSS_J175746.58-384750.0             -2.81    -2.44   
2441   HOW15    J181219.68-343726.4        *       RG     18_12_19.68      -34_37_26.4      *         *        *        12.8     12.15    4873   1.94   -2.5    1.93   SMSS_J181219.68-343726.4             -2.5     -2.2    
2442   HOW15    J181317.69-343801.9        *       RG     18_13_17.69      -34_38_1.9       *         *        *        13.09    12.5     5015   2.25   -2.28   1.48   SMSS_J181317.69-343801.9             -2.28    -1.75   
2443   HOW15    J181406.68-313106.1        *       RG     18_14_6.68       -31_31_6.1       *         *        *        12.12    11.35    4821   1.48   -2.82   1.96   SMSS_J181406.68-313106.1             -2.82    -2.59   
2444   HOW15    J181505.16-385514.9        *       RG     18_15_5.16       -38_55_14.9      *         *        *        13.63    13.09    4962   2.73   -3.29   2.1    SMSS_J181505.16-385514.9             -3.29    -3.08   
2445   HOW15    J181609.62-333218.7        *       RG     18_16_9.62       -33_32_18.7      *         *        *        13.39    12.71    4809   1.93   -3.94   1.6    SMSS_J181609.62-333218.7             -3.94    -3.74   
2446   HOW15    J181634.60-340342.5        *       RG     18_16_34.6       -34_3_42.5       *         *        *        12.56    11.9     4821   1.61   -2.46   1.79   SMSS_J181634.60-340342.5             -2.46    -2.41   
2447   HOW15    J181736.59-391303.3        *       RG     18_17_36.59      -39_13_3.3       *         *        *        12.06    11.37    4612   1.05   -2.59   2.09   SMSS_J181736.59-391303.3             -2.59    -2.21   
2448   HOW15    J181921.64-381429.0        *       RG     18_19_21.64      -38_14_29        *         *        *        13.64    13.03    4917   2.02   -2.72   1.94   SMSS_J181921.64-381429.0             -2.72    -2.44   
2449   HOW15    J182048.26-273329.2        NO      RG     18_20_48.26      -27_33_29.2      *         *        *        12.94    12.25    4949   2.22   -3.48   1.9    SMSS_J182048.26-273329.2             -3.48    -2.94   
2450   HOW16    J182153.85-341018.8        *       RG     18_21_53.85      -34_10_18.8      *         *        *        *        *        4896   1.33   -2.51   1.9    SMSS_J182153.85-341018.8             -2.51    -2.04   
2451   HOW16    J182600.09-332531.0        *       RG     18_26_0.09       -33_25_31        *         *        *        *        *        4680   1.36   -2.53   2.4    SMSS_J182600.09-332531.0             -2.53    -2.37   
2452   HOW16    J182601.24-332358.3        *       RG     18_26_1.24       -33_23_58.3      *         *        *        *        *        5246   1.65   -2.83   2.5    SMSS_J182601.24-332358.3             -2.83    -2.05   
2453   HOW16    J182637.10-342924.2        *       RG     18_26_37.1       -34_29_24.2      *         *        *        *        *        5070   2.5    -1.97   1.3    SMSS_J182637.10-342924.2             -1.97    -1.47   
2454   HOW16    J182753.81-334607.7        *       RG     18_27_53.81      -33_46_7.7       *         *        *        *        *        4842   1.53   -2.31   2.5    SMSS_J182753.81-334607.7             -2.31    -2.02   
2455   HOW16    J182922.48-335559.4        *       HB     18_29_22.48      -33_55_59.4      *         *        *        *        *        5420   1.94   -2.77   2.5    SMSS_J182922.48-335559.4             -2.77    -2.06   
2456   HOW16    J182930.47-335958.3        *       RG     18_29_30.47      -33_59_58.3      *         *        *        *        *        4952   1.25   -1.97   2.3    SMSS_J182930.47-335958.3             -1.97    -1.6    
2457   HOW16    J182948.48-341053.9        *       RG     18_29_48.48      -34_10_53.9      *         *        *        *        *        5274   2.82   -2.47   2.2    SMSS_J182948.48-341053.9             -2.47    -1.9    
2458   HOW16    J183000.36-333919.3        *       RG     18_30_0.36       -33_39_19.3      *         *        *        *        *        4776   1.55   -2.63   2.5    SMSS_J183000.36-333919.3             -2.63    -2.29   
2459   HOW16    J183128.71-341018.4        *       RG     18_31_28.71      -34_10_18.4      *         *        *        *        *        4940   2.15   -1.83   2      SMSS_J183128.71-341018.4             -1.83    -1.61   
2460   HOW16    J183225.29-334938.4        *       RG     18_32_25.29      -33_49_38.4      *         *        *        *        *        5293   2.35   -1.74   1.8    SMSS_J183225.29-334938.4             -1.74    -1.32   
2461   JAC15    SMSS_J183246.49-343434.2   *       RG     18_32_46.49      -34_34_34.2      *         *        *        *        *        4545   0.8    -3      2.75   SMSS_J183246.49-343434.2             -3.0     -2.49   
2462   HOW16    J183617.33-270005.3        *       RG     18_36_17.33      -27_0_5.3        *         *        *        *        *        4842   1.93   -2.8    2.1    SMSS_J183617.33-270005.3             -2.8     -2.68   
2463   HOW15    J183647.89-274333.1        *       RG     18_36_47.89      -27_43_33.1      *         *        *        10.68    9.77     4649   1.17   -2.48   2.5    SMSS_J183647.89-274333.1             -2.48    -2.15   
2464   HOW15    J183719.09-262725.0        *       RG     18_37_19.09      -26_27_25        *         *        *        12.79    12.03    4791   1.64   -3.18   1.81   SMSS_J183719.09-262725.0             -3.18    -2.71   
2465   HOW15    J183744.90-280831.1        *       RG     18_37_44.9       -28_8_31.1       *         *        *        12.29    11.53    4597   0.98   -2.92   2.05   SMSS_J183744.90-280831.1             -2.92    -2.48   
2466   JAC15    SMSS_J183753.10-380725.9   *       RG     18_37_53.1       -38_7_25.9       *         *        *        *        *        4518   0.7    -2.99   2.55   SMSS_J183753.10-380725.9             -2.99    -2.47   
2467   HOW15    J183812.72-270746.3        *       RG     18_38_12.72      -27_7_46.3       *         *        *        13.38    12.61    4873   1.74   -3.22   1.81   SMSS_J183812.72-270746.3             -3.22    -3.17   
2468   HOW15    J184201.19-302159.6        *       RG     18_42_1.19       -30_21_59.6      *         *        *        14.52    14       5136   2.55   -2.84   1.96   SMSS_J184201.19-302159.6             -2.84    -2.58   
2469   JAC15    SMSS_J184226.25-272602.7   *       RG     18_42_26.25      -27_26_2.7       *         *        *        *        *        4450   0.75   -3.89   2.85   SMSS_J184226.25-272602.7             -3.89    -3.27   
2470   HOW15    J184656.07-292351.5        *       RG     18_46_56.07      -29_23_51.5      *         *        *        13.12    12.51    4857   1.93   -2.76   1.83   SMSS_J184656.07-292351.5             -2.76    -2.35   
2471   JAC15    SMSS_J184825.29-305929.7   *       RG     18_48_25.29      -30_59_29.7      *         *        *        *        *        4518   0.75   -3.65   3.15   SMSS_J184825.29-305929.7             -3.65    -3.15   
2472   JAC15    SMSS_J185628.44-231809.8   *       RG     18_56_28.44      -23_18_9.8       *         *        *        *        *        4513   1.05   -2.99   2.8    SMSS_J185628.44-231809.8             -2.99    -2.52   
2473   JAC15    SMSS_J190549.33-214945.0   *       RG     19_5_49.33       -21_49_45        *         *        *        *        *        4855   1.55   -3.11   2.05   SMSS_J190549.33-214945.0             -3.11    -2.66   
2474   JAC15    SMSS_J190911.03-213207.5   *       RG     19_9_11.03       -21_32_7.5       *         *        *        *        *        4626   0.85   -2.4    2.6    SMSS_J190911.03-213207.5             -2.4     -1.96   
2475   JAC15    SMSS_J190931.13-214053.9   *       RG     19_9_31.13       -21_40_53.9      *         *        *        *        *        4500   1      -3.33   3.25   SMSS_J190931.13-214053.9             -3.33    -2.99   
2476   JAC15    SMSS_J191802.51-851523.0   *       RG     19_18_2.51       -85_15_23        *         *        *        *        *        5035   2.2    -2.63   1.9    SMSS_J191802.51-851523.0             -2.62    -2.41   
2477   JAC15    SMSS_J193528.46-462129.6   *       RG     19_35_28.46      -46_21_29.6      *         *        *        *        *        4792   1.15   -3.39   2.75   SMSS_J193528.46-462129.6             -3.39    -2.72   
2478   JAC15    SMSS_J193617.38-790231.4   *       RG     19_36_17.38      -79_2_31.4       *         *        *        *        *        5260   2.5    -1.31   1.95   SMSS_J193617.38-790231.4             -1.29    -1.13   
2479   JAC15    SMSS_J194432.13-720537.1   *       RG     19_44_32.13      -72_5_37.1       *         *        *        *        *        4774   1.35   -2.43   2.5    SMSS_J194432.13-720537.1             -2.43    -2.01   
2480   JAC15    SMSS_J195614.75-320145.9   *       RG     19_56_14.75      -32_1_45.9       *         *        *        *        *        4801   1.6    -2.32   2.4    SMSS_J195614.75-320145.9             -2.31    -1.78   
2481   JAC15    SMSS_J195931.70-643529.3   *       RG     19_59_31.7       -64_35_29.3      *         *        *        *        *        4639   1.15   -2.58   2.9    SMSS_J195931.70-643529.3             -2.58    -2.01   
2482   JAC15    SMSS_J200228.85-533114.4   *       RG     20_2_28.85       -53_31_14.4      *         *        *        *        *        4648   1.1    -3.22   2.7    SMSS_J200228.85-533114.4             -3.22    -2.65   
2483   JAC15    SMSS_J200654.42-321157.7   *       RG     20_6_54.42       -32_11_57.7      *         *        *        *        *        5395   2.95   -3.25   1.75   SMSS_J200654.42-321157.7             -3.25    -3.01   
2484   JAC15    SMSS_J202057.49-522417.2   *       RG     20_20_57.49      -52_24_17.2      *         *        *        *        *        4783   1.1    -3.12   2.35   SMSS_J202057.49-522417.2             -3.12    -2.47   
2485   JAC15    SMSS_J202123.89-515742.8   *       RG     20_21_23.89      -51_57_42.8      *         *        *        *        *        4900   1.7    -2.61   2.2    SMSS_J202123.89-515742.8             -2.61    -2.23   
2486   JAC15    SMSS_J205313.80-651830.6   *       RG     20_53_13.8       -65_18_30.6      *         *        *        *        *        4828   1.65   -2.62   2.1    SMSS_J205313.80-651830.6             -2.62    -2.25   
2487   JAC15    SMSS_J210021.85-653627.9   *       RG     21_0_21.85       -65_36_27.9      *         *        *        *        *        4927   1.75   -1.89   2.15   SMSS_J210021.85-653627.9             -1.89    -1.5    
2488   JAC15    SMSS_J211340.44-520017.5   *       RG     21_13_40.44      -52_0_17.5       *         *        *        *        *        4824   1.45   -2.4    2.45   SMSS_J211340.44-520017.5             -2.4     -2.03   
2489   JAC15    SMSS_J215805.81-651327.2   *       RG     21_58_5.81       -65_13_27.2      *         *        *        *        *        4783   1.55   -3.41   2.05   SMSS_J215805.81-651327.2             -3.41    -3.0    
2490   JAC15    SMSS_J221448.33-453949.9   *       RG     22_14_48.33      -45_39_49.9      *         *        *        *        *        4522   1.15   -2.56   2.55   SMSS_J221448.33-453949.9             -2.56    -2.17   
2491   JAC15    SMSS_J224838.41-550635.1   *       RG     22_48_38.41      -55_6_35.1       *         *        *        *        *        4540   0.8    -2.87   2.75   SMSS_J224838.41-550635.1             -2.87    -2.39   
