ID     Ref      Name                       C_key   Type   RA               DEC              Vel       B_mag    V_mag    J_mag    K_mag    Teff   logg   M/H     Vmic   Simbad_Identifier                    Fe/H     Mg/H    
115    SHE03    Scl459                     *       RG     1_0_12.556       -33_43_1.18      116.7     19.23    18.125   16.25    15.36    4500   1      -1.66   1.65   2MASS_J01001255-3343011              -1.64    -1.32   
116    SHE03    Scl479                     *       RG     1_0_12.786       -33_41_15.8      99.22     18.48    17.28    14.95    14.3     4325   0.7    -1.77   1.7    2MASS_J01001278-3341157              -1.75    -1.53   
117    GEI05    Star982                    *       RG     1_0_16.308       -33_42_37.19     *         18.86    16.995   14.56    13.7     4025   0.5    -1      2.2    2MASS_J01001630-3342371              -0.97    -1.21   
118    SHE03    Scl400                     *       RG     1_0_17.085       -33_45_13.92     111.4     19.14    18.152   16.21    15.79    4650   0.9    -1.98   1.7    2MASS_J01001708-3345139              -1.96    -1.63   
119    SHE03    Scl461                     *       RG     1_0_18.308       -33_42_12.23     106.1     18.86    17.518   15.21    14.4     4500   1.2    -1.56   1.7    2MASS_J01001830-3342122              -1.54    -1.4    
120    GEI05    Star770                    *       RG     1_0_23.85        -33_42_17.37     122.69    18.64    17.333   14.94    14.05    4075   0      -1.7    1.9    2MASS_J01002384-3342173              -1.72    -1.58   
121    FRE10a   S1020549                   *       RG     1_0_47.852       -33_41_2.94      *         19.16    18.187   16.62    15.49    4550   0.9    -3.81   2.8    2MASS_J01004785-3341029              -3.81    -3.7    
123    COH06    HE0058-0244                CR      SG     1_0_53.032       -2_28_20.04      -68.4     14.42    13.73    12.405   12.027   5620   3.4    -2.75   1.6    2MASS_J01005303-0228200              -2.8     -2.27   
124    COH13    CS22183-015                CR      SG     1_0_53.032       -2_28_20.04      -68.4     14.42    13.73    12.405   12.027   5620   3.4    -2.76   1.2    2MASS_J01005303-0228200              -2.76    -2.26   
126    MAS12    CS22183-015                CR      RG     1_0_53.032       -2_28_20.04      -68.4     14.42    13.73    12.405   12.027   5450   3      -2.87   1.5    2MASS_J01005303-0228200              -2.92    -2.35   
128    AND10    CS22953-003                *       RG     1_2_15.858       -61_43_45.8      209       14.43    13.75    12.173   11.642   5100   2.3    -2.84   1.7    2MASS_J01021585-6143458              -2.84    -2.57   
129    CAY04    CS22953-003                *       RG     1_2_15.858       -61_43_45.8      209       14.43    13.75    12.173   11.642   5100   2.3    -3      1.7    2MASS_J01021585-6143458              -2.85    -2.73   
130    MCW95    CS22953-003                *       RG     1_2_15.858       -61_43_45.8      209       14.43    13.75    12.173   11.642   4960   1.7    -2.9    1.95   2MASS_J01021585-6143458              -2.79    -2.57   
131    ROE14b   CS22953-003                *       RG     1_2_15.858       -61_43_45.8      209       14.43    13.75    12.173   11.642   4860   1.65   -3      1.45   2MASS_J01021585-6143458              -3.13    -2.74   
135    HAN15    HE0100-1622                CR      RG     1_2_58.483       -16_6_30.94      *         16.659   15.822   14.367   13.85    5400   3      -2.9    1.1    2MASS_J01025848-1606309              -2.93    -2.29   
136    ROE14b   CS22942-035                *       RG     1_3_57.47        -23_52_45.3      -103      15.17    14.56    13.034   12.539   4940   1.85   -2.99   1.5    2MASS_J01035747-2352452              -3.08    -2.61   
137    RYA96    CS31065-008                *       SG     1_5_27.964       -11_57_31.07     90.5      14.03    13.58    12.484   12.099   5800   4      -3.36   1      2MASS_J01052796-1157310              -3.36    -2.62   
138    YON13    HE0102-1213                NO      SG     1_5_27.964       -11_57_31.07     90.5      14.03    13.58    12.484   12.099   6100   3.65   -3.28   1.5    2MASS_J01052796-1157310              -3.28    -3.22   
139    BAR05    HE0104-5300                *       RG     1_6_51.907       -52_44_10.52     185.8     14.382   13.55    11.908   11.289   4732   1.43   -3.42   1.99   2MASS_J01065190-5244105              -3.31    -3.08   
140    BAR05    HE0104-4007                *       RG     1_6_56.014       -39_51_51.29     200.8     16.585   15.957   14.441   14.013   5154   2.64   -3.3    1.72   2MASS_J01065601-3951512              -3.3     -3.11   
141    BAR05    HE0105-6141                *       RG     1_7_37.829       -61_25_17.62     -2        14.22    13.64    12.161   11.663   5218   2.83   -2.55   1.66   2MASS_J01073782-6125176              -2.55    -2.24   
143    SIQ14    HE0105-6141                *       RG     1_7_37.829       -61_25_17.62     -2        14.22    13.64    12.161   11.663   5234   2.91   -2.57   1.42   2MASS_J01073782-6125176              -2.56    -2.18   
144    RUC11    RAVEJ010839.6-285701       *       RG     1_8_39.6         -28_57_1.4       146.3     13.278   12.604   10.979   10.454   5113   2.27   -2.64   1.6    2MASS_J01083959-2857013              -2.64    -2.39   
145    HON04    CS22183-031                *       RG     1_9_5.078        -4_43_21.15      8         14.24    13.62    12.111   11.582   5270   2.8    -2.93   1.2    2MASS_J01090507-0443211              -2.92    -2.53   
147    ROE14b   CS22183-031                *       RG     1_9_5.078        -4_43_21.15      8         14.24    13.62    12.111   11.582   4850   1.6    -3.5    1.55   2MASS_J01090507-0443211              -3.57    -2.8    
149    ROE14b   CS29514-017                *       RG     1_9_44.8         -26_16_55        -10       14.17    13.55    12.315   11.891   5270   2.8    -2.34   1.2    2MASS_J01094480-2616549              -2.35    -2.0    
150    PRE00    CS22166-041                *       MS     1_10_56.364      -13_42_43.5      *         14.68    14.36    13.553   13.34    7050   4.5    -1.32   2.5    2MASS_J01105636-1342434              -1.3     -1.19   
152    PRE00    CS22174-008                *       MS     1_11_45.466      -10_40_3.81      *         13.9     13.62    12.954   12.69    7320   4.2    -1.48   3      2MASS_J01114546-1040038              -1.46    -0.95   
153    BAR05    HE0109-0742                *       RG     1_11_47.069      -7_26_32.11      -24.1     14.895   14.211   12.791   12.29    5315   1.85   -2.53   2.19   2MASS_J01114706-0726321              -2.52    -2.24   
154    HAN15    HE0109-4510                *       RG     1_12_8.104       -44_54_16.58     *         16.53    16.007   14.727   14.183   5600   3.3    -3      1.1    2MASS_J01120810-4454165              -2.96    -2.67   
155    AND10    CS29518-020                *       MS     1_12_13.207      -31_0_5.31       *         14.41    14       13.06    12.745   6240   4.5    -2.77   1.7    2MASS_J01121320-3100053              -2.77    -2.73   
156    BON09    CS29518-020                *       MS     1_12_13.207      -31_0_5.31       *         14.41    14       13.06    12.745   6242   4.5    -2.77   1.7    2MASS_J01121320-3100053              -2.77    -2.73   
158    BAR05    HE0111-1454                *       RG     1_13_49.08       -14_38_23.12     -85.2     13.83    12.93    11.118   10.503   4632   1.05   -2.99   2.36   2MASS_J01134908-1438231              -2.99    -2.66   
159    PRE00    CS29518-024                *       SG     1_17_12.119      -32_26_57.79     -77       14.73    14.52    14.048   13.96    7650   3.5    -0.94   2.5    2MASS_J01171211-3226577              -0.92    -0.95   
160    AND10    CS29518-043                *       MS     1_18_38.299      -30_41_2.66      *         14.94    14.57    13.643   13.372   6430   4.3    -3.24   1.3    2MASS_J01183829-3041026              -3.24    -3.03   
161    BON09    CS29518-043                *       MS     1_18_38.299      -30_41_2.66      *         14.94    14.57    13.643   13.372   6432   4.25   -3.2    1.3    2MASS_J01183829-3041026              -3.2     -3.03   
163    ROE14b   CS29514-037                *       SG     1_21_41.69       -27_3_31.3       -31       14.3     13.95    13.041   12.694   5970   3.7    -2.47   1.15   2MASS_J01214169-2703312              -2.62    -2.38   
164    BAR05    HE0121-2826                *       RG     1_23_37.139      -28_10_28.02     -2        16.196   15.471   14.044   13.409   4955   1.99   -2.97   1.68   2MASS_J01233713-2810280              -2.97    -2.56   
167    AND10    CS29518-051                *       RG     1_24_10.015      -28_15_21.08     96.42     13.62    13.02    11.54    11.032   5200   2.6    -2.69   1.4    2MASS_J01241001-2815210              -2.69    -2.33   
